id	word_list_id	word	old_translation	new_translation
2	1	explosive	爆炸的； 极易引起争论的；炸药	adj. 易爆炸的；可能引起爆炸的；爆炸装置（炸弹）；易爆化学混合物；氢极易爆炸；n. 炸药；爆炸物；塑性炸药；这枚炸弹装有几磅烈性炸药
3	1	numerous	众多的	adj. 正式用语；众多的；许多的；他已经迟到过许多次了；这套系统的好处不胜枚举；我试过许多次跟克里斯谈一谈；大量研究表明这是事实
4	1	govern	居支配地位， 占优势；统治，治理，支配	统治；控制；管理；治理；这个国家由民选代表统治；他指责反对党无力治理国事
5	1	analyse	分析； 分解； 解析	分析；这项工作包括收集和分析数据；研究人员使用专业软件详细分析了结果；学会置身事外，批判性地分析形势；他试图分析自己的感情；第一步是定义和分析问题
6	1	discourage	使泄气， 使灰心； 阻止， 劝阻	v. 阻拦；阻止；劝阻；阻止投资化石燃料开发的运动；我出门时开着灯以防夜贼闯入；他的父母试图阻止他去当演员
7	1	resemble	像， 类似于	v. 不用于进行时；看起来像；显得像；像；她和她姐姐很像；许多酒店看上去都差不多；这种植物的外形像草
8	1	remote	遥远的； 偏僻的； 关系疏远的； 脱离的； 微乎其微的； 孤高的， 冷淡的； 遥控的	adj. 偏远的；偏僻的；偏远的村庄；地点；地区；偏远的社区；这个国家的一个偏远地区
9	1	salary	薪金， 薪水	n. 加薪；他领取基本薪金，外加佣金；基本工资；化学工程专业的毕业生预计将获得最高的起薪；终止最终工资养老金计划；我们没有钱支付员工工资
10	1	pollution	污染， 污染物	n. 污染；玷污；弄脏；空气；水污染；降低污染水平；污染控制新技术；词语搭配
11	1	pretend	装作， 假装	v. 假装；佯装；我厌倦了常常要装假；当然是我错了，混充正确就是虚伪了；他对家人装出一切都好的样子；我们假装什么事情也没发生；她冒充他的外甥女
12	1	kettle	水壶	v. 警察；围堵，圈围（将游行示威者限制在一定区域内使其不能轻易离开）；数百名抗议者在游行开始时就被警方围堵起来
13	1	wreck	失事；残骸；精神或身体已垮的人；破坏	n. 沉船；严重损毁的船；他们将设法从海底捞起失事船只残骸
14	1	drunk	醉的； 陶醉的	n. 醉汉；酒鬼；酗酒者
15	1	calculate	计算； 估计； 计划	v. 计算；核算；一名独立估价师将计算你的财产价值；这个数字是用标准方程计算出来的；用公式计算容器的容积；我们还没有真正计算过假期的费用；补助金按平均周收入计算
